"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.44339057","8.94125853","9.80847323","9.94828911","10.62276563","9.90467425","10.25649568","9.81848731","8.56967118","8.56190731","7.89716844","8.8059641","9.6523559","10.29759481","","",
"Angola","AGO","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.50364987","5.19123534","4.24161853","4.70396414","5.00803971","3.97699155","3.60097135","3.21629104","3.49937473","3.58452225","2.74149872","2.84313911","2.66495273","2.99269854","2.799603","2.94697845","","",
"Albania","ALB","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.76132337","6.51584893","6.43433172","6.35372959","6.55977313","6.34283049","5.932672","6.12899956","5.58280539","5.10230605","5.03476136","5.63434989","5.8607223","6.34386088","6.9565315","6.82443871","","",
"Andorra","AND","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.34810142","9.36303175","9.42564619","9.17867214","9.19278737","9.77875476","9.71331952","9.80833812","10.4328092","10.89586944","11.56620393","11.82564064","12.09021338","14.1583755","12.03078576","11.97477605","","",
"Arab World","ARB","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.19838518871166","4.33756453146079","4.32402457066143","4.14388963325673","3.80639344784922","3.49482144035418","3.46942197167842","3.56094585761465","3.37819832679424","4.38320815355444","3.97017837795591","3.94631308827027","4.07715519336777","4.24169089043882","4.51595545929125","4.886952112207","","",
"United Arab Emirates","ARE","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.49415404","2.48437076","2.7177114","2.64634142","2.46204536","2.32019946","2.32541521","2.56569632","2.92847604","4.04999497","3.92941728","3.69260579","3.43584381","3.62004938","3.66370326","3.46589995","","",
"Argentina","ARG","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.03325842","5.18528443","4.72693232","5.94781481","5.8533266","6.37587812","6.41563467","6.41917175","6.27060408","6.99700605","6.75599601","6.3430355","6.25796402","6.38798122","6.4076248","6.83453274","","",
"Armenia","ARM","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.5052226","6.53626359","5.69081368","5.61072568","8.22784232","7.03488045","5.58846107","5.44514349","4.34674994","4.68904566","5.2641816","3.77726009","6.71185962","8.26983927","7.04152649","10.14083813","","",
"American Samoa","ASM","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.06358087","4.4993945","4.37125029","4.50352473","4.16976287","4.38390143","4.33457696","4.23211378","4.64378818","4.74817518","5.54808738","5.73013736","5.09503945","5.36221691","5.67570032","4.8439976","","",
"Australia","AUS","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.6033117","7.69647945","7.88714014","7.89368096","8.1053256","7.97385869","7.9832171","8.05731666","8.26152587","8.58760162","8.46778244","8.58572447","8.72550204","8.80584355","9.07924999","9.44533327","","",
"Austria","AUT","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.22142994","9.28751266","9.41272066","9.58291804","9.64729219","9.58190549","9.4818364","9.47828009","9.63474273","10.14206027","10.11228382","9.90937053","10.13021724","10.18611195","10.28596661","10.31988167","","",
"Azerbaijan","AZE","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.83660117","3.69278652","3.71965618","5.99211361","7.34403065","7.39807286","5.75062254","4.71671493","4.0016965","5.39187314","4.90651632","4.79071037","5.10251755","5.35835644","5.65431536","6.67801847","","",
"Burundi","BDI","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.75838705","6.46824525","6.42817087","6.20056574","7.23280899","9.44885041","10.32895225","10.17669948","9.38694147","10.54189932","11.27638905","10.42525276","8.63756421","8.22941463","6.81046604","8.24294928","","",
"Belgium","BEL","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.94200339","8.10533207","8.26350135","9.08952933","9.10842554","9.02350513","8.92097795","8.94994358","9.33923619","10.07083958","9.91800872","10.08100716","10.18429342","10.36682111","10.39503365","10.47712841","","",
